APN,COMMUNITY,SITUS,LAT,LONG
501-92-033,GREENWAYPARC1,15081 N 158TH LN SURPRISE 85379,33.6209656,-112.4016781
501-92-034,GREENWAYPARC1,15093 N 158TH LN SURPRISE 85379,33.62119067,-112.401696
501-92-035,GREENWAYPARC1,15815 W MAUI LN SURPRISE 85379,33.62111746,-112.4013478
501-92-036,GREENWAYPARC1,15809 W MAUI LN SURPRISE 85379,33.62085964,-112.4012978
501-92-037,GREENWAYPARC1,15803 W MAUI LN SURPRISE 85379,33.62077671,-112.4009436
501-92-038,GREENWAYPARC1,15797 W MAUI LN SURPRISE 85379,33.62087774,-112.4006619
501-92-039,GREENWAYPARC1,15791 W MAUI LN SURPRISE 85379,33.6208087,-112.4004111
501-92-040,GREENWAYPARC1,15785 W MAUI LN SURPRISE 85379,33.62079103,-112.4002027
501-92-041,GREENWAYPARC1,15779 W MAUI LN SURPRISE 85379,33.62079319,-112.3999982
501-92-042,GREENWAYPARC1,15778 W MAUI LN SURPRISE 85379,33.62123309,-112.4000937
501-92-043,GREENWAYPARC1,15784 W MAUI LN SURPRISE 85379,33.62124638,-112.4003207
501-92-044,GREENWAYPARC1,15790 W MAUI LN SURPRISE 85379,33.62129032,-112.4005283
501-92-045,GREENWAYPARC1,15796 W MAUI LN SURPRISE 85379,33.62135571,-112.4007182
501-92-046,GREENWAYPARC1,15802 W MAUI LN SURPRISE 85379,33.62141718,-112.400901
501-92-047,GREENWAYPARC1,15808 W MAUI LN SURPRISE 85379,33.62147864,-112.4010839
501-92-048,GREENWAYPARC1,15814 W MAUI LN SURPRISE 85379,33.62155008,-112.4012805
501-92-049,GREENWAYPARC1,15820 W MAUI LN SURPRISE 85379,33.62156818,-112.4014991
501-92-050,GREENWAYPARC1,15826 W MAUI LN SURPRISE 85379,33.62156622,-112.4017022
501-92-051,GREENWAYPARC1,15832 W MAUI LN SURPRISE 85379,33.62157043,-112.4019109
501-92-052,GREENWAYPARC1,15829 W PORT AU PRINCE LN SURPRISE 85379,33.62186852,-112.4019066
501-92-053,GREENWAYPARC1,15823 W PORT AU PRINCE LN SURPRISE 85379,33.6218685,-112.4016978
501-92-054,GREENWAYPARC1,15817 W PORT AU PRINCE LN SURPRISE 85379,33.62186902,-112.4014972
501-92-055,GREENWAYPARC1,15811 W PORT AU PRINCE LN SURPRISE 85379,33.62185916,-112.401284
501-92-056,GREENWAYPARC1,15805 W PORT AU PRINCE LN SURPRISE 85379,33.62180636,-112.4010773
501-92-057,GREENWAYPARC1,15799 W PORT AU PRINCE LN SURPRISE 85379,33.62173947,-112.4008907
501-92-058,GREENWAYPARC1,15793 W PORT AU PRINCE LN SURPRISE 85379,33.62167801,-112.4007078
501-92-059,GREENWAYPARC1,15787 W PORT AU PRINCE LN SURPRISE 85379,33.62161404,-112.4005232
501-92-060,GREENWAYPARC1,15781 W PORT AU PRINCE LN SURPRISE 85379,33.62155385,-112.4003233
501-92-061,GREENWAYPARC1,15775 W PORT AU PRINCE LN SURPRISE 85379,33.62153082,-112.4000914
501-92-062,GREENWAYPARC1,15774 W PORT AU PRINCE LN SURPRISE 85379,33.62196165,-112.3999302
501-92-063,GREENWAYPARC1,15780 W PORT AU PRINCE LN SURPRISE 85379,33.62198468,-112.4001581
501-92-064,GREENWAYPARC1,15786 W PORT AU PRINCE LN SURPRISE 85379,33.62203876,-112.4003581
501-92-065,GREENWAYPARC1,15792 W PORT AU PRINCE LN SURPRISE 85379,33.62209753,-112.4005461
501-92-066,GREENWAYPARC1,15798 W PORT AU PRINCE LN SURPRISE 85379,33.622159,-112.400729
501-92-067,GREENWAYPARC1,15804 W PORT AU PRINCE LN SURPRISE 85379,33.62222543,-112.4009156
501-92-068,GREENWAYPARC1,15810 W PORT AU PRINCE LN SURPRISE 85379,33.62228235,-112.4011151
501-92-069,GREENWAYPARC1,15816 W PORT AU PRINCE LN SURPRISE 85379,33.62230785,-112.401326
501-92-070,GREENWAYPARC1,15822 W PORT AU PRINCE LN SURPRISE 85379,33.62230924,-112.4015447
501-92-071,GREENWAYPARC1,15825 W ACAPULCO LN SURPRISE 85379,33.62260689,-112.4015411
501-92-072,GREENWAYPARC1,15819 W ACAPULCO LN SURPRISE 85379,33.62260687,-112.4013323
501-92-073,GREENWAYPARC1,15813 W ACAPULCO LN SURPRISE 85379,33.6226032,-112.4010982
501-92-074,GREENWAYPARC1,15807 W ACAPULCO LN SURPRISE 85379,33.62253201,-112.400879
501-92-075,GREENWAYPARC1,15801 W ACAPULCO LN SURPRISE 85379,33.62247054,-112.4006961
501-92-076,GREENWAYPARC1,15795 W ACAPULCO LN SURPRISE 85379,33.62240736,-112.4005122
501-92-077,GREENWAYPARC1,15789 W ACAPULCO LN SURPRISE 85379,33.62234492,-112.4003212
501-92-078,GREENWAYPARC1,15783 W ACAPULCO LN SURPRISE 85379,33.62230023,-112.4001176
501-92-079,GREENWAYPARC1,15777 W ACAPULCO LN SURPRISE 85379,33.62227349,-112.3999116
501-92-080,GREENWAYPARC1,15776 W ACAPULCO LN SURPRISE 85379,33.62271929,-112.3999229
501-92-081,GREENWAYPARC1,15782 W ACAPULCO LN SURPRISE 85379,33.62275767,-112.4001442
501-92-082,GREENWAYPARC1,15788 W ACAPULCO LN SURPRISE 85379,33.62282173,-112.4003435
501-92-083,GREENWAYPARC1,15794 W ACAPULCO LN SURPRISE 85379,33.62288462,-112.4005278
501-92-084,GREENWAYPARC1,15800 W ACAPULCO LN SURPRISE 85379,33.62294609,-112.4007107
501-92-085,GREENWAYPARC1,15806 W ACAPULCO LN SURPRISE 85379,33.62301627,-112.4009025
501-92-086,GREENWAYPARC1,15812 W ACAPULCO LN SURPRISE 85379,33.62305063,-112.4011176
501-92-087,GREENWAYPARC1,15818 W ACAPULCO LN SURPRISE 85379,33.62304655,-112.4013259
501-92-088,GREENWAYPARC1,15824 W ACAPULCO LN SURPRISE 85379,33.62304856,-112.401523
501-92-089,GREENWAYPARC1,15830 W ACAPULCO LN SURPRISE 85379,33.62305056,-112.4017201
501-92-090,GREENWAYPARC1,15836 W ACAPULCO LN SURPRISE 85379,33.62305478,-112.4019288
501-92-091,GREENWAYPARC1,15833 W CARIBBEAN LN SURPRISE 85379,33.62335286,-112.4019245
501-92-092,GREENWAYPARC1,15827 W CARIBBEAN LN SURPRISE 85379,33.62335284,-112.4017157
501-92-093,GREENWAYPARC1,15821 W CARIBBEAN LN SURPRISE 85379,33.62335084,-112.4015186
501-92-094,GREENWAYPARC1,15815 W CARIBBEAN LN SURPRISE 85379,33.62334884,-112.4013215
501-92-095,GREENWAYPARC1,15809 W CARIBBEAN LN SURPRISE 85379,33.6233508,-112.4011139
501-92-096,GREENWAYPARC1,15803 W CARIBBEAN LN SURPRISE 85379,33.62332816,-112.4008863
501-92-097,GREENWAYPARC1,15797 W CARIBBEAN LN SURPRISE 85379,33.62326284,-112.4006796
501-92-098,GREENWAYPARC1,15791 W CARIBBEAN LN SURPRISE 85379,33.62319932,-112.4004948
501-92-099,GREENWAYPARC1,15785 W CARIBBEAN LN SURPRISE 85379,33.62313785,-112.4003119
